Tên_mặt_hàng,Đơn_vị_tính,Loại_giá,Loại_tiền,Ngày,Giá
Cà phê Robusta nhân xô,VNĐ/kg,Thu mua,VNĐ,2021-01-01,31667.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-04,32717.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-05,32417.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-06,32317.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-07,32117.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-08,31817.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-11,31517.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-12,31417.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-13,31217.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-14,31817.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-15,31717.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-18,32017.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-19,31617.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-20,31717.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-21,31617.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-22,31333.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-25,31117.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-26,31117.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-27,31317.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-28,31317.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-01-29,31117.0
Cà phê Robusta nhân xô,VNĐ/kg,Thu mua,VNĐ,2021-02-01,31459.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-02,31517.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-03,31067.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-04,31267.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-05,31417.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-08,31417.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-09,31617.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-10,31717.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-11,31517.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-12,31633.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-16,31400.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-17,31367.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-18,31567.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-19,31667.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-22,31567.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-23,32267.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-24,32667.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-25,32667.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-02-26,32767.0
Cà phê Robusta nhân xô,VNĐ/kg,Thu mua,VNĐ,2021-03-01,32388.75
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-02,32575.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-03,32475.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-04,32375.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-05,32275.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-08,32075.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-09,31725.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-10,32350.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-11,32425.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-12,32525.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-15,32266.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-16,32133.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-17,32483.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-18,32583.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-19,32083.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-22,31567.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-23,31767.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-24,31467.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-25,31267.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-26,31267.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-29,32267.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-30,31917.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-03-31,31817.0
Cà phê Robusta nhân xô,VNĐ/kg,Thu mua,VNĐ,2021-04-01,32081.5
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-04-02,31617.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-04-05,31717.0
Cà phê Robusta nhân xô,Vnđ/kg,Thu mua,VNĐ,2021-04-06,31717.0
